,index,Category,Category_Gender,Medal,Athlete_Full_Name,Country_IMG_URL,Country_Code,Sport_Event
330,330,Synchronized Platform,Men,Silver,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
331,331,Synchronized Platform,Men,Bronze,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Diving
332,332,Springboard,Women,Gold,Shi Tingmao,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
333,333,Springboard,Women,Silver,Wang Han,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
334,334,Springboard,Women,Bronze,Krysta Palmer,https://www.olympedia.org/images/flags/USA.png,USA,Diving
335,335,Platform,Women,Gold,Quan Hongchan,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
336,336,Platform,Women,Silver,Chen Yuxi,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
337,337,Platform,Women,Bronze,Melissa Wu,https://www.olympedia.org/images/flags/AUS.png,AUS,Diving
338,338,Synchronized Springboard,Women,Gold,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
339,339,Synchronized Springboard,Women,Silver,Canada,https://www.olympedia.org/images/flags/CAN.png,CAN,Diving
340,340,Synchronized Springboard,Women,Bronze,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Diving
341,341,Synchronized Platform,Women,Gold,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Diving
342,342,Synchronized Platform,Women,Silver,United States,https://www.olympedia.org/images/flags/USA.png,USA,Diving
343,343,Synchronized Platform,Women,Bronze,Mexico,https://www.olympedia.org/images/flags/MEX.png,MEX,Diving
344,344,Individual,Open,Gold,Jessica Von Bredow-Werndl,https://www.olympedia.org/images/flags/GER.png,GER,Equestrian Dressage
345,345,Individual,Open,Silver,Isabell Werth,https://www.olympedia.org/images/flags/GER.png,GER,Equestrian Dressage
346,346,Individual,Open,Bronze,Charlotte Dujardin,https://www.olympedia.org/images/flags/GBR.png,GBR,Equestrian Dressage
347,347,Team,Open,Gold,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Equestrian Dressage
348,348,Team,Open,Silver,United States,https://www.olympedia.org/images/flags/USA.png,USA,Equestrian Dressage
349,349,Team,Open,Bronze,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Equestrian Dressage
350,350,Individual,Open,Gold,Julia Krajewski,https://www.olympedia.org/images/flags/GER.png,GER,Equestrian Eventing
351,351,Individual,Open,Silver,Tom McEwen,https://www.olympedia.org/images/flags/GBR.png,GBR,Equestrian Eventing
352,352,Individual,Open,Bronze,Andrew Hoy,https://www.olympedia.org/images/flags/AUS.png,AUS,Equestrian Eventing
353,353,Team,Open,Gold,Great Britain,https://www.olympedia.org/images/flags/GBR.png,GBR,Equestrian Eventing
354,354,Team,Open,Silver,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Equestrian Eventing
355,355,Team,Open,Bronze,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Equestrian Eventing
356,356,"Foil, Individual",Men,Gold,Edgar Cheung,https://www.olympedia.org/images/flags/HKG.png,HKG,Fencing
357,357,"Foil, Individual",Men,Silver,Daniele Garozzo,https://www.olympedia.org/images/flags/ITA.png,ITA,Fencing
358,358,"Foil, Individual",Men,Bronze,Alexander Choupenitch,https://www.olympedia.org/images/flags/CZE.png,CZE,Fencing
359,359,"Foil, Team",Men,Gold,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Fencing
360,360,"Foil, Team",Men,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
361,361,"Foil, Team",Men,Bronze,United States,https://www.olympedia.org/images/flags/USA.png,USA,Fencing
362,362,"Épée, Individual",Men,Gold,Romain Cannone,https://www.olympedia.org/images/flags/FRA.png,FRA,Fencing
363,363,"Épée, Individual",Men,Silver,Gergely Siklósi,https://www.olympedia.org/images/flags/HUN.png,HUN,Fencing
364,364,"Épée, Individual",Men,Bronze,Ihor Reizlin,https://www.olympedia.org/images/flags/UKR.png,UKR,Fencing
365,365,"Épée, Team",Men,Gold,Japan,https://www.olympedia.org/images/flags/JPN.png,JPN,Fencing
366,366,"Épée, Team",Men,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
367,367,"Épée, Team",Men,Bronze,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Fencing
368,368,"Sabre, Individual",Men,Gold,Áron Szilágyi,https://www.olympedia.org/images/flags/HUN.png,HUN,Fencing
369,369,"Sabre, Individual",Men,Silver,Luigi Samele,https://www.olympedia.org/images/flags/ITA.png,ITA,Fencing
370,370,"Sabre, Individual",Men,Bronze,Kim Jeong-Hwan,https://www.olympedia.org/images/flags/KOR.png,KOR,Fencing
371,371,"Sabre, Team",Men,Gold,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Fencing
372,372,"Sabre, Team",Men,Silver,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Fencing
373,373,"Sabre, Team",Men,Bronze,Hungary,https://www.olympedia.org/images/flags/HUN.png,HUN,Fencing
374,374,"Foil, Individual",Women,Gold,Lee Kiefer,https://www.olympedia.org/images/flags/USA.png,USA,Fencing
375,375,"Foil, Individual",Women,Silver,Inna Deriglazova,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
376,376,"Foil, Individual",Women,Bronze,Larisa Korobeynikova,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
377,377,"Foil, Team",Women,Gold,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
378,378,"Foil, Team",Women,Silver,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Fencing
379,379,"Foil, Team",Women,Bronze,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Fencing
380,380,"Épée, Individual",Women,Gold,Sun Yiwen,https://www.olympedia.org/images/flags/CHN.png,CHN,Fencing
381,381,"Épée, Individual",Women,Silver,Ana Maria Brânză-Popescu,https://www.olympedia.org/images/flags/ROU.png,ROU,Fencing
382,382,"Épée, Individual",Women,Bronze,Katrina Lehis,https://www.olympedia.org/images/flags/EST.png,EST,Fencing
383,383,"Épée, Team",Women,Gold,Estonia,https://www.olympedia.org/images/flags/EST.png,EST,Fencing
384,384,"Épée, Team",Women,Silver,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Fencing
385,385,"Épée, Team",Women,Bronze,Italy,https://www.olympedia.org/images/flags/ITA.png,ITA,Fencing
386,386,"Sabre, Individual",Women,Gold,Sofiya Pozdnyakova,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
387,387,"Sabre, Individual",Women,Silver,Sofya Velikaya,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
388,388,"Sabre, Individual",Women,Bronze,Manon Brunet,https://www.olympedia.org/images/flags/FRA.png,FRA,Fencing
389,389,"Sabre, Team",Women,Gold,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Fencing
390,390,"Sabre, Team",Women,Silver,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Fencing
391,391,"Sabre, Team",Women,Bronze,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Fencing
392,392,Individual,Men,Gold,Xander Schauffele,https://www.olympedia.org/images/flags/USA.png,USA,Golf
393,393,Individual,Men,Silver,Rory Sabbatini,https://www.olympedia.org/images/flags/SVK.png,SVK,Golf
394,394,Individual,Men,Bronze,Pan Cheng-Tsung,https://www.olympedia.org/images/flags/TPE.png,TPE,Golf
395,395,Individual,Women,Gold,Nelly Korda,https://www.olympedia.org/images/flags/USA.png,USA,Golf
396,396,Individual,Women,Silver,Mone Inami,https://www.olympedia.org/images/flags/JPN.png,JPN,Golf
397,397,Individual,Women,Bronze,Lydia Ko,https://www.olympedia.org/images/flags/NZL.png,NZL,Golf
398,398,Hockey,Men,Gold,Belgium,https://www.olympedia.org/images/flags/BEL.png,BEL,Hockey
399,399,Hockey,Men,Silver,Australia,https://www.olympedia.org/images/flags/AUS.png,AUS,Hockey
