Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
Mass Effect 3: Special Edition,Action role-playingthird-person shooter,BioWareStraight Right,Electronic Arts,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Masked Forces,Action,R.G.B.,R.G.B.,Unreleased,"May 31, 2018",Unreleased,"May 3, 2018"
Master Reboot,Graphic adventuresurvival horror,Wales Interactive,Wales Interactive,"December 16, 2015","July 24, 2014",Unreleased,"July 24, 2014"
Maze,Adventurepuzzle,TreeFall Studios,TreeFall Studios,Unreleased,"January 8, 2015",Unreleased,Unreleased
Maze Break,Puzzles,nuGAME,nuGAME,Unreleased,"February 23, 2017",Unreleased,"February 9, 2017"
Mega Maze,Puzzle,Chronova,Chronova,Unreleased,"January 19, 2017",Unreleased,Unreleased
Meine Ersten Mitsing-Lieder,Music,Ringzero Games,Ringzero Games,Unreleased,Unreleased,Unreleased,"November 10, 2014"
Meme Run,Action,Jordan Schuetz,Ninja Pig Studios,Unreleased,"December 18, 2014","December 18, 2014","December 18, 2014"
Michiko Jump!,Action,Nintendo,Nintendo,"June 24, 2015",Unreleased,Unreleased,Unreleased
Midnight,Platform,Vilmos Gyokeres,Petite Games,Unreleased,"January 22, 2015",Unreleased,Unreleased
Midnight 2,Platform,Petite Games,Petite Games,Unreleased,"May 5, 2016",Unreleased,"June 30, 2016"
Midtown Crazy Race,Racing,José Varela,José Varela,Unreleased,"August 21, 2014",Unreleased,"July 31, 2014"
Mighty No. 9,Actionplatform,ComceptInti Creates,Deep Silver,"June 21, 2016","June 21, 2016","June 21, 2016","June 24, 2016"
Mighty Switch Force!: Hyper Drive Edition,Platformpuzzle,WayForward Technologies,JP: IntergrowWW: WayForward Technologies,"September 10, 2014","November 18, 2012","June 6, 2013","December 6, 2012"
Mighty Switch Force! 2,Platformpuzzle,WayForward Technologies,WayForward Technologies,Unreleased,"October 17, 2013","October 24, 2013","October 24, 2013"
